

gen best mean std
0 91.933573 10.233764 29.770435
1 91.933573 16.761628 33.582369
2 91.933573 23.123866 36.674182
3 91.933573 32.315469 39.696287
4 91.933573 38.377842 38.5215
5 91.933573 47.782353 35.370378
6 91.933573 57.105697 33.144917
7 91.933573 65.956679 29.874668
8 91.933573 73.978794 22.490577
9 92.643172 78.162204 20.953792
10 92.643172 80.485794 20.935838
11 92.643172 85.033932 14.413117
12 92.643172 86.097873 13.425598
13 92.643172 85.010926 16.002055
14 92.694055 86.891925 16.546642
15 92.694055 85.683495 19.916813
16 92.694055 89.368255 12.084269
17 92.694055 91.342943 3.519091
18 92.694055 90.424098 7.419496
19 92.694055 90.388982 8.830147
