

gen best mean std
0 93.392828 15.285965 33.673326
1 93.392828 20.816022 36.023317
2 93.392828 26.703054 37.733157
3 93.392828 33.86142 38.757895
4 93.392828 38.791813 39.123585
5 93.392828 47.095956 36.914035
6 94.057323 57.016995 34.693571
7 94.057323 69.682447 29.724238
8 94.057323 81.706758 20.332064
9 94.057323 86.135657 14.365782
10 94.123266 88.284103 10.400999
11 94.123266 90.192512 9.629824
12 94.123266 88.84216 13.488062
13 94.123266 91.795935 1.630166
14 94.123266 90.804065 9.69798
15 94.123266 88.815211 16.221634
16 94.123266 87.426683 20.991229
17 94.123266 88.875746 16.969985
18 94.123266 89.782296 16.329141
19 94.123266 93.179392 0.901826
