

gen best mean std
0 28.089611 -2.113139 7.566123
1 39.958627 -0.432132 8.985521
2 44.360704 3.611657 11.445311
3 39.958627 5.470086 12.751351
4 39.958627 7.509838 12.058753
5 39.958627 8.531255 12.001958
6 39.958627 10.460056 12.241836
7 36.028739 10.061968 10.821344
8 36.064225 11.576679 11.909288
9 36.064225 12.742555 13.166412
10 36.064225 11.418049 13.703722
11 36.050499 14.984116 13.440568
12 36.112715 11.172956 12.29439
13 36.112715 13.537943 11.489421
14 36.112715 14.937381 11.315855
15 36.112715 14.629974 11.457644
16 36.112715 14.484257 10.282115
17 36.112715 15.865236 10.5724
18 39.494674 18.37042 10.873178
19 39.494674 19.12525 12.857816
