

gen best mean std
0 23.440697 -3.279069 6.07395
1 23.440697 -0.076713 8.413572
2 23.440697 1.426849 8.158336
3 23.440697 4.114111 9.273251
4 24.3941 6.799285 8.971253
5 31.624305 10.051408 9.136863
6 34.030442 10.650997 9.951204
7 34.030442 11.956256 9.084362
8 34.030442 12.854681 8.852928
9 67.44689 15.481231 12.506614
10 67.44689 15.550137 13.091054
11 67.44689 16.91006 14.137571
12 67.44689 18.893521 15.094017
13 67.44689 20.39328 16.090401
14 67.44689 20.49801 16.3534
15 67.44689 21.331858 17.401721
16 67.44689 21.135222 19.0397
17 67.44689 20.879463 18.899028
18 67.44689 22.956263 19.372027
19 67.44689 22.205822 17.738085
